rank,string,count,frequency
561,19,69,0.0003
562,杭州,69,0.0003
563,休息,69,0.0003
564,一位,69,0.0003
565,肯定,68,0.0003
566,淮南,68,0.0003
567,转运,68,0.0003
568,所谓,68,0.0003
569,主要,68,0.0003
570,爆发,68,0.0003
571,增加,68,0.0003
572,焦虑,68,0.0003
573,公交,68,0.0003
574,高位,67,0.0003
575,告诉,67,0.0003
576,成为,67,0.0003
577,比较,67,0.0003
578,办法,67,0.0003
579,外出,67,0.0003
580,18,67,0.0003
581,说明,67,0.0003
582,警察,66,0.0003
583,形势严峻,66,0.0003
584,女子,66,0.0003
585,外面,66,0.0003
586,无语,66,0.0003
587,闭环,66,0.0003
588,致敬,66,0.0003
589,三年,66,0.0003
590,福建,66,0.0003
591,女生,66,0.0003
592,好多,65,0.0003
593,全域,65,0.0003
594,原来,65,0.0003
595,进一步,65,0.0003
596,带来,65,0.0003
597,48,65,0.0003
598,举措,65,0.0003
599,媒体,65,0.0003
600,紧急,64,0.0003
601,之下,64,0.0003
602,启动,64,0.0003
603,境外,64,0.0003
604,捐赠,64,0.0003
605,请问,64,0.0003
606,不同,63,0.0003
607,书记,63,0.0003
608,正式,63,0.0003
609,环境,63,0.0003
610,第二,63,0.0003
611,上网,63,0.0003
612,广州市,63,0.0003
613,变成,63,0.0003
614,报道,63,0.0003
615,就医,63,0.0003
616,公告,63,0.0003
617,是因为,63,0.0003
618,卖场,62,0.0003
619,全封闭,62,0.0003
620,平台,62,0.0003
621,物业,62,0.0003
622,重症,62,0.0003
623,三个,62,0.0003
624,这波,62,0.0003
625,战胜,62,0.0003
626,教育,62,0.0003
627,里面,62,0.0003
628,公布,62,0.0003
629,负责,62,0.0003
630,综合,62,0.0003
631,难道,62,0.0003
632,任务,62,0.0003
633,卫健委,62,0.0003
634,昆明,62,0.0003
635,提示,62,0.0003
636,参加,62,0.0003
637,第一次,61,0.0003
638,线上,61,0.0003
639,能够,61,0.0003
640,发放,61,0.0003
641,部署,61,0.0003
642,全球,61,0.0003
643,交通,61,0.0003
